ClienteID,NomeCliente,Sexo,Idade,FaixaEtaria,Cidade,Estado,Regiao,DataCadastro
103,Cliente 0103,Feminino,43,35-44,Vitória,ES,Sudeste,2024-02-18
104,Cliente 0104,Feminino,26,25-34,Santos,SP,Sudeste,2021-01-29
105,Cliente 0105,Masculino,32,25-34,Florianópolis,SC,Sul,2023-04-23
106,Cliente 0106,Não informado,24,18-24,Vitória,ES,Sudeste,2022-12-26
107,Cliente 0107,Feminino,24,18-24,Rio de Janeiro,RJ,Sudeste,2024-02-27
108,Cliente 0108,Feminino,50,45-54,Belém,PA,Norte,2023-03-13
109,Cliente 0109,Masculino,34,25-34,Rio de Janeiro,RJ,Sudeste,2023-11-12
110,Cliente 0110,Feminino,18,18-24,Caxias do Sul,RS,Sul,2025-04-17
111,Cliente 0111,Masculino,28,25-34,Campinas,SP,Sudeste,2025-03-22
112,Cliente 0112,Masculino,48,45-54,Londrina,PR,Sul,2024-08-31
113,Cliente 0113,Masculino,50,45-54,Santos,SP,Sudeste,2025-02-07
114,Cliente 0114,Masculino,30,25-34,Natal,RN,Nordeste,2024-07-11
115,Cliente 0115,Masculino,31,25-34,Rio de Janeiro,RJ,Sudeste,2025-01-22
116,Cliente 0116,Feminino,49,45-54,Florianópolis,SC,Sul,2022-09-05
117,Cliente 0117,Masculino,28,25-34,Cuiabá,MT,Centro-Oeste,2023-12-01
118,Cliente 0118,Masculino,49,45-54,Belém,PA,Norte,2023-08-26
119,Cliente 0119,Feminino,43,35-44,Belo Horizonte,MG,Sudeste,2025-06-14
120,Cliente 0120,Não informado,47,45-54,Campinas,SP,Sudeste,2023-07-05
121,Cliente 0121,Masculino,19,18-24,Porto Alegre,RS,Sul,2023-10-03
122,Cliente 0122,Não informado,46,45-54,Vitória,ES,Sudeste,2021-08-16
123,Cliente 0123,Feminino,24,18-24,Niterói,RJ,Sudeste,2022-08-14
124,Cliente 0124,Feminino,39,35-44,Palmas,TO,Norte,2023-03-06
125,Cliente 0125,Masculino,38,35-44,Belo Horizonte,MG,Sudeste,2023-10-13
126,Cliente 0126,Feminino,48,45-54,Fortaleza,CE,Nordeste,2021-06-01
127,Cliente 0127,Masculino,32,25-34,Brasília,DF,Centro-Oeste,2024-11-03
128,Cliente 0128,Feminino,19,18-24,Recife,PE,Nordeste,2022-12-24
129,Cliente 0129,Masculino,32,25-34,Campo Grande,MS,Centro-Oeste,2023-12-12
130,Cliente 0130,Feminino,52,45-54,Niterói,RJ,Sudeste,2022-02-28
131,Cliente 0131,Masculino,29,25-34,Vitória,ES,Sudeste,2021-05-31
132,Cliente 0132,Feminino,48,45-54,Niterói,RJ,Sudeste,2021-03-17
133,Cliente 0133,Masculino,46,45-54,São Paulo,SP,Sudeste,2022-12-01
134,Cliente 0134,Masculino,53,45-54,Fortaleza,CE,Nordeste,2024-03-24
135,Cliente 0135,Feminino,19,18-24,Curitiba,PR,Sul,2022-08-08
136,Cliente 0136,Masculino,21,18-24,Campinas,SP,Sudeste,2021-05-25
137,Cliente 0137,Masculino,35,35-44,Niterói,RJ,Sudeste,2022-02-18
138,Cliente 0138,Masculino,45,45-54,Santos,SP,Sudeste,2025-04-15
139,Cliente 0139,Não informado,50,45-54,Curitiba,PR,Sul,2022-09-15
140,Cliente 0140,Feminino,41,35-44,Goiânia,GO,Centro-Oeste,2023-11-16
141,Cliente 0141,Feminino,46,45-54,Belo Horizonte,MG,Sudeste,2022-10-22
142,Cliente 0142,Feminino,59,55+,Niterói,RJ,Sudeste,2022-02-22
143,Cliente 0143,Feminino,18,18-24,Brasília,DF,Centro-Oeste,2022-10-14
144,Cliente 0144,Feminino,34,25-34,Fortaleza,CE,Nordeste,2023-11-06
145,Cliente 0145,Masculino,35,35-44,Santos,SP,Sudeste,2024-12-11
146,Cliente 0146,Masculino,42,35-44,Campinas,SP,Sudeste,2021-02-24
147,Cliente 0147,Feminino,56,55+,Niterói,RJ,Sudeste,2022-01-30
148,Cliente 0148,Feminino,37,35-44,Fortaleza,CE,Nordeste,2024-09-04
149,Cliente 0149,Masculino,37,35-44,Porto Alegre,RS,Sul,2024-02-11
150,Cliente 0150,Masculino,38,35-44,Fortaleza,CE,Nordeste,2021-04-29
151,Cliente 0151,Masculino,20,18-24,Vitória,ES,Sudeste,2021-03-10
152,Cliente 0152,Masculino,40,35-44,Niterói,RJ,Sudeste,2022-02-09
153,Cliente 0153,Masculino,54,45-54,São Paulo,SP,Sudeste,2024-08-20
154,Cliente 0154,Masculino,18,18-24,Joinville,SC,Sul,2025-01-14
155,Cliente 0155,Feminino,43,35-44,Campinas,SP,Sudeste,2021-04-05
156,Cliente 0156,Masculino,34,25-34,Vitória,ES,Sudeste,2024-05-21
157,Cliente 0157,Masculino,42,35-44,Joinville,SC,Sul,2025-06-02
158,Cliente 0158,Feminino,31,25-34,Niterói,RJ,Sudeste,2024-05-05
159,Cliente 0159,Feminino,63,55+,Campinas,SP,Sudeste,2024-04-19
160,Cliente 0160,Feminino,36,35-44,Maceió,AL,Nordeste,2022-01-19
161,Cliente 0161,Masculino,28,25-34,Maceió,AL,nordeste ,2021-05-09
162,Cliente 0162,Masculino,20,18-24,Niterói,RJ,Sudeste,2025-04-26
163,Cliente 0163,Masculino,32,25-34,Joinville,SC,Sul,2021-07-04
164,Cliente 0164,Masculino,46,45-54,Santos,SP,sudeste ,2021-07-03
165,Cliente 0165,Feminino,42,35-44,Florianópolis,SC,Sul,2021-05-07
166,Cliente 0166,Feminino,34,25-34,Joinville,SC,Sul,2024-03-04
167,Cliente 0167,Masculino,34,25-34,João Pessoa,PB,Nordeste,2025-06-16
168,Cliente 0168,Feminino,35,35-44,Porto Alegre,RS,Sul,2023-10-27
169,Cliente 0169,Masculino,45,45-54,Santos,SP,Sudeste,2022-02-02
170,Cliente 0170,Feminino,24,18-24,Belo Horizonte,MG,Sudeste,2022-03-10
171,Cliente 0171,Masculino,48,45-54,São Paulo,SP,Sudeste,2022-09-07
172,Cliente 0172,Masculino,18,18-24,Rio de Janeiro,RJ,Sudeste,2021-08-02
173,Cliente 0173,Masculino,23,18-24,Londrina,PR,Sul,2024-10-24
174,Cliente 0174,Feminino,38,35-44,Recife,PE,Nordeste,2022-11-11
175,Cliente 0175,Masculino,52,45-54,Campo Grande,MS,Centro-Oeste,2021-01-11
176,Cliente 0176,Masculino,44,35-44,Goiânia,GO,Centro-Oeste,2023-08-17
177,Cliente 0177,Feminino,51,45-54,Porto Velho,RO,Norte,2024-10-20
178,Cliente 0178,Masculino,47,45-54,Maceió,AL,Nordeste,2023-10-31
179,Cliente 0179,Masculino,34,25-34,Goiânia,GO,Centro-Oeste,2023-04-29
180,Cliente 0180,Masculino,38,35-44,Natal,RN,Nordeste,2022-02-12
181,Cliente 0181,Feminino,38,35-44,Londrina,PR,Sul,2024-10-16
182,Cliente 0182,Masculino,23,18-24,Maceió,AL,Nordeste,2023-09-21
183,Cliente 0183,Masculino,39,35-44,Vitória,ES,Sudeste,2023-01-21
184,Cliente 0184,Feminino,32,25-34,Campinas,SP,Sudeste,2023-12-07
185,Cliente 0185,Feminino,18,18-24,Florianópolis,SC,Sul,2021-09-08
186,Cliente 0186,Feminino,41,35-44,Vitória,ES,Sudeste,2024-03-20
187,Cliente 0187,Masculino,32,25-34,São Paulo,SP,Sudeste,2021-06-03
188,Cliente 0188,Feminino,41,35-44,Campo Grande,MS,Centro-Oeste,2023-04-14
189,Cliente 0189,Feminino,18,18-24,Salvador,BA,Nordeste,2025-06-18
190,Cliente 0190,Feminino,54,45-54,Porto Velho,RO,Norte,2024-11-21
191,Cliente 0191,Feminino,20,18-24,Belo Horizonte,MG,Sudeste,2022-03-20
192,Cliente 0192,Feminino,35,35-44,Salvador,BA,Nordeste,2024-09-05
193,Cliente 0193,Feminino,38,35-44,Caxias do Sul,RS,Sul,2022-02-10
194,Cliente 0194,Não informado,26,25-34,Campo Grande,MS,Centro-Oeste,2022-02-16
195,Cliente 0195,Feminino,43,35-44,Brasília,DF,Centro-Oeste,2024-05-18
196,Cliente 0196,Feminino,22,18-24,Porto Alegre,RS,Sul,2022-10-21
197,Cliente 0197,Masculino,46,45-54,Vitória,ES,Sudeste,2023-08-27
198,Cliente 0198,Feminino,41,35-44,Florianópolis,SC,Sul,2021-02-18
199,Cliente 0199,Masculino,53,45-54,Londrina,PR,Sul,2023-09-18
200,Cliente 0200,Feminino,46,45-54,Vitória,ES,Sudeste,2023-06-06
201,Cliente 0201,Feminino,31,25-34,Belo Horizonte,MG,Sudeste,2021-07-06
202,Cliente 0202,Feminino,18,18-24,Maceió,AL,Nordeste,2021-06-16
203,Cliente 0203,Masculino,44,35-44,Porto Alegre,RS,Sul,2021-03-25
204,Cliente 0204,Feminino,51,45-54,Goiânia,GO,Centro-Oeste,2025-04-15
205,Cliente 0205,Masculino,34,25-34,Campo Grande,MS,Centro-Oeste,2024-07-04
206,Cliente 0206,Feminino,18,18-24,Goiânia,GO,Centro-Oeste,2023-01-26
207,Cliente 0207,Masculino,31,25-34,Niterói,RJ,Sudeste,2024-11-19
208,Cliente 0208,Masculino,40,35-44,Vitória,ES,Sudeste,2024-07-17
209,Cliente 0209,Feminino,32,25-34,Belo Horizonte,MG,Sudeste,2022-05-02
210,Cliente 0210,Masculino,48,45-54,Londrina,PR,Sul,2024-04-14
211,Cliente 0211,Feminino,19,18-24,Goiânia,GO,Centro-Oeste,2021-05-16
212,Cliente 0212,Masculino,46,45-54,João Pessoa,PB,Nordeste,2022-08-04
213,Cliente 0213,Feminino,53,45-54,Salvador,BA,Nordeste,2024-03-12
214,Cliente 0214,Feminino,22,18-24,São Paulo,SP,Sudeste,2022-03-11
215,Cliente 0215,Masculino,46,45-54,Belém,PA,Norte,2021-12-11
216,Cliente 0216,Feminino,30,25-34,Niterói,RJ,Sudeste,2022-11-04
217,Cliente 0217,Não informado,19,18-24,Florianópolis,SC,Sul,2021-08-06
218,Cliente 0218,Masculino,23,18-24,Goiânia,GO,Centro-Oeste,2024-01-03
219,Cliente 0219,Masculino,26,25-34,Campinas,SP,Sudeste,2023-02-18
220,Cliente 0220,Masculino,33,25-34,Campinas,SP,Sudeste,2022-01-29
221,Cliente 0221,Masculino,40,35-44,Londrina,PR,Sul,2023-05-08
222,Cliente 0222,Masculino,41,35-44,Joinville,SC,Sul,2024-05-23
223,Cliente 0223,Feminino,37,35-44,Campo Grande,MS,Centro-Oeste,2025-04-23
224,Cliente 0224,Feminino,18,18-24,Belo Horizonte,MG,Sudeste,2021-10-13
225,Cliente 0225,Feminino,50,45-54,Campinas,SP,Sudeste,2024-03-01
226,Cliente 0226,Masculino,47,45-54,Florianópolis,SC,Sul,2024-12-20
227,Cliente 0227,Feminino,37,35-44,Florianópolis,SC,Sul,2021-02-16
228,Cliente 0228,Feminino,46,45-54,Curitiba,PR,Sul,2024-02-10
229,Cliente 0229,Masculino,48,45-54,Belo Horizonte,MG,Sudeste,2025-04-26
230,Cliente 0230,Masculino,18,18-24,Rio de Janeiro,RJ,Sudeste,2024-04-04
231,Cliente 0231,Masculino,43,35-44,Curitiba,PR,Sul,2021-02-26
232,Cliente 0232,Masculino,55,55+,Fortaleza,CE,Nordeste,2021-09-19
233,Cliente 0233,Masculino,49,45-54,Curitiba,PR,Sul,2024-02-27
234,Cliente 0234,Masculino,56,55+,Santos,SP,Sudeste,2023-04-10
235,Cliente 0235,Feminino,37,35-44,Campo Grande,MS,Centro-Oeste,2022-06-11
236,Cliente 0236,Masculino,53,45-54,São Paulo,SP,Sudeste,2023-07-21
237,Cliente 0237,Feminino,28,25-34,Caxias do Sul,RS,Sul,2023-04-02
238,Cliente 0238,Feminino,38,35-44,Natal,RN,Nordeste,2023-09-01
239,Cliente 0239,Feminino,24,18-24,Vitória,ES,Sudeste,2024-04-18
240,Cliente 0240,Feminino,18,18-24,Recife,PE,Nordeste,2023-07-01
241,Cliente 0241,Masculino,45,45-54,Florianópolis,SC,Sul,2025-02-13
242,Cliente 0242,Feminino,30,25-34,Palmas,TO,Norte,2024-05-18
243,Cliente 0243,Feminino,28,25-34,Belo Horizonte,MG,Sudeste,2024-08-20
244,Cliente 0244,Feminino,42,35-44,Santos,SP,Sudeste,2021-09-08
245,Cliente 0245,Feminino,18,18-24,Porto Alegre,RS,Sul,2023-07-22
246,Cliente 0246,Não informado,32,25-34,Fortaleza,CE,Nordeste,2022-02-18
247,Cliente 0247,Masculino,28,25-34,João Pessoa,PB,Nordeste,2021-07-12
248,Cliente 0248,Masculino,37,35-44,Curitiba,PR,Sul,2025-02-06
249,Cliente 0249,Não informado,35,35-44,Natal,RN,Nordeste,2022-08-02
250,Cliente 0250,Feminino,42,35-44,Rio de Janeiro,RJ,Sudeste,2022-12-29
251,Cliente 0251,Não informado,32,25-34,Londrina,PR,Sul,2025-01-15
252,Cliente 0252,Masculino,40,35-44,Campinas,SP,Sudeste,2021-07-08
253,Cliente 0253,Feminino,43,35-44,Caxias do Sul,RS,Sul,2021-03-14
254,Cliente 0254,Não informado,19,18-24,Rio de Janeiro,RJ,Sudeste,2024-05-15
255,Cliente 0255,Feminino,46,45-54,Maceió,AL,Nordeste,2021-07-02
256,Cliente 0256,Feminino,44,35-44,Natal,RN,Nordeste,2022-04-16
257,Cliente 0257,Feminino,36,35-44,Rio de Janeiro,RJ,Sudeste,2023-06-15
258,Cliente 0258,Feminino,46,45-54,Joinville,SC,Sul,2024-08-01
259,Cliente 0259,Feminino,66,55+,Natal,RN,Nordeste,2023-03-08
260,Cliente 0260,Masculino,42,35-44,São Paulo,SP,Sudeste,2023-01-20
261,Cliente 0261,Masculino,59,55+,Brasília,DF,Centro-Oeste,2023-02-10
262,Cliente 0262,Feminino,53,45-54,Santos,SP,Sudeste,2021-01-05
263,Cliente 0263,Masculino,54,45-54,Londrina,PR,Sul,2025-05-07
264,Cliente 0264,Masculino,34,25-34,Curitiba,PR,Sul,2024-08-09
265,Cliente 0265,Feminino,23,18-24,Porto Velho,RO,Norte,2024-02-12
266,Cliente 0266,Masculino,22,18-24,Natal,RN,Nordeste,2022-02-04
267,Cliente 0267,Feminino,36,35-44,Fortaleza,CE,Nordeste,2024-04-07
268,Cliente 0268,Masculino,48,45-54,Natal,RN,Nordeste,2021-12-24
269,Cliente 0269,Masculino,34,25-34,Porto Alegre,RS,Sul,2022-10-27
270,Cliente 0270,Masculino,27,25-34,Santos,SP,Sudeste,2022-08-02
271,Cliente 0271,Feminino,21,18-24,Fortaleza,CE,Nordeste,2025-03-13
272,Cliente 0272,Masculino,30,25-34,Fortaleza,CE,Nordeste,2024-04-12
273,Cliente 0273,Masculino,20,18-24,Campinas,SP,Sudeste,2024-11-03
274,Cliente 0274,Feminino,56,55+,Niterói,RJ,Sudeste,2023-03-28
275,Cliente 0275,Masculino,20,18-24,Vitória,ES,Sudeste,2023-06-16
276,Cliente 0276,Masculino,33,25-34,João Pessoa,PB,Nordeste,2022-05-21
277,Cliente 0277,Feminino,39,35-44,Niterói,RJ,Sudeste,2021-04-17
278,Cliente 0278,Feminino,50,45-54,Campo Grande,MS,Centro-Oeste,2022-10-30
279,Cliente 0279,Masculino,46,45-54,Manaus,AM,Norte,2022-09-11
280,Cliente 0280,Feminino,19,18-24,Brasília,DF,Centro-Oeste,2024-01-13
281,Cliente 0281,Feminino,29,25-34,Cuiabá,MT,Centro-Oeste,2023-05-30
282,Cliente 0282,Masculino,43,35-44,Santos,SP,Sudeste,2021-12-22
283,Cliente 0283,Masculino,38,35-44,Cuiabá,MT,Centro-Oeste,2022-01-29
284,Cliente 0284,Feminino,44,35-44,Belo Horizonte,MG,Sudeste,2021-03-17
285,Cliente 0285,Feminino,50,45-54,Salvador,BA,Nordeste,2023-05-15
286,Cliente 0286,Masculino,30,25-34,Niterói,RJ,Sudeste,2022-03-16
287,Cliente 0287,Feminino,45,45-54,Porto Velho,RO,Norte,2023-04-12
288,Cliente 0288,Masculino,35,35-44,Brasília,DF,Centro-Oeste,2024-10-18
289,Cliente 0289,Masculino,40,35-44,Santos,SP,Sudeste,2021-08-30
290,Cliente 0290,Masculino,60,55+,Rio de Janeiro,RJ,Sudeste,2024-07-16
291,Cliente 0291,Masculino,36,35-44,Curitiba,PR,Sul,2024-10-03
292,Cliente 0292,Feminino,44,35-44,Natal,RN,Nordeste,2024-05-25
293,Cliente 0293,Masculino,52,45-54,Caxias do Sul,RS,Sul,2022-03-03
294,Cliente 0294,Não informado,36,35-44,Niterói,RJ,Sudeste,2021-09-02
295,Cliente 0295,Masculino,59,55+,Santos,SP,Sudeste,2022-10-09
296,Cliente 0296,Feminino,30,25-34,Campo Grande,MS,Centro-Oeste,2023-04-26
297,Cliente 0297,Masculino,39,35-44,Rio de Janeiro,RJ,Sudeste,2022-04-19
298,Cliente 0298,Masculino,32,25-34,Salvador,BA,Nordeste,2025-02-01
299,Cliente 0299,Masculino,37,35-44,Belo Horizonte,MG,Sudeste,2021-01-04
300,Cliente 0300,Feminino,33,25-34,Manaus,AM,Norte,2024-12-26
301,Cliente 0301,Masculino,33,25-34,Brasília,DF,Centro-Oeste,2025-03-12
302,Cliente 0302,Feminino,40,35-44,Salvador,BA,Nordeste,2021-08-17
303,Cliente 0303,Masculino,42,35-44,Porto Alegre,RS,Sul,2024-11-21
304,Cliente 0304,Masculino,48,45-54,Campinas,SP,Sudeste,2021-04-26
305,Cliente 0305,Feminino,18,18-24,Recife,PE,Nordeste,2023-04-25
306,Cliente 0306,Masculino,44,35-44,Campinas,SP,Sudeste,2022-08-15
307,Cliente 0307,Masculino,55,55+,Campo Grande,MS,Centro-Oeste,2022-12-04
308,Cliente 0308,Masculino,52,45-54,Goiânia,GO,Centro-Oeste,2021-07-26
309,Cliente 0309,Masculino,18,18-24,Niterói,RJ,Sudeste,2021-12-05
310,Cliente 0310,Masculino,35,35-44,Santos,SP,Sudeste,2024-01-17
311,Cliente 0311,Feminino,43,35-44,Santos,SP,Sudeste,2024-04-01
312,Cliente 0312,Masculino,50,45-54,Maceió,AL,Nordeste,2023-02-26
313,Cliente 0313,Masculino,38,35-44,Recife,PE,Nordeste,2021-10-28
314,Cliente 0314,Feminino,43,35-44,Santos,SP,Sudeste,2025-05-13
315,Cliente 0315,Masculino,41,35-44,Londrina,PR,Sul,2022-08-22
316,Cliente 0316,Masculino,50,45-54,Niterói,RJ,Sudeste,2023-08-19
317,Cliente 0317,Masculino,31,25-34,Goiânia,GO,Centro-Oeste,2025-04-16
318,Cliente 0318,Masculino,42,35-44,Santos,SP,Sudeste,2022-09-22
319,Cliente 0319,Masculino,37,35-44,Maceió,AL,nordeste ,2022-10-27
320,Cliente 0320,Masculino,39,35-44,Vitória,ES,Sudeste,2022-03-01
321,Cliente 0321,Não informado,49,45-54,Rio de Janeiro,RJ,Sudeste,2025-02-25
322,Cliente 0322,Masculino,31,25-34,Belo Horizonte,MG,Sudeste,2021-12-22
323,Cliente 0323,Feminino,32,25-34,Joinville,SC,Sul,2024-07-05
324,Cliente 0324,Feminino,22,18-24,Belo Horizonte,MG,Sudeste,2024-07-26
