VendaID,PedidoID,Data,ClienteID,ProdutoID,LojaID,CanalID,Quantidade,PrecoUnitario,CustoUnitario,Desconto
9641,PED-2025-005421,2025-05-09,299,65,4,2,1,828.33,675.63,0.05
14017,PED-2025-007875,2025-11-05,1245,38,3,2,2,169.93,128.26,0.10
8993,PED-2025-005050,2025-04-26,1189,4,12,3,1,5788.96,4215.86,0.10
8939,PED-2025-005019,2025-04-05,2269,13,4,2,1,853.81,684.43,0.10
4221,PED-2024-002386,2024-09-25,2308,91,5,2,3,175.76,103.58,0.10
2731,PED-2024-001552,2024-06-17,1925,43,6,1,1,61.67,43.79,0.05
15343,PED-2025-008619,2025-12-25,2222,114,2,1,1,74.84,46.84,0.10
3394,PED-2024-001928,2024-07-08,670,99,3,2,4,34.83,18.40,0.00
5686,PED-2024-003215,2024-11-29,1765,6,1,1,1,2204.05,1714.14,0.15
4646,PED-2024-002630,2024-09-02,37,73,1,2,1,2618.66,2033.68,0.10
6362,PED-2024-003580,2024-12-17,918,111,10,2,2,118.19,85.17,0.15
9950,PED-2025-005592,2025-06-22,1502,117,1,3,1,139.91,94.82,0.05
13087,PED-2025-007358,2025-10-14,1615,75,8,1,1,3618.42,2851.57,0.00
8394,PED-2025-004710,2025-03-18,281,112,7,3,1,48.91,35.01,0.05
13768,PED-2025-007738,2025-11-30,1463,78,7,1,1,3129.17,2666.90,0.10
7703,PED-2025-004336,2025-02-27,412,16,4,2,1,3893.78,2897.77,0.05
7206,PED-2025-004058,2025-01-08,437,5,9,3,1,605.46,518.77,0.00
8320,PED-2025-004669,2025-03-03,727,37,3,2,1,91.82,69.06,0.10
11070,PED-2025-006215,2025-07-28,2234,58,5,3,1,41.63,27.67,0.15
9069,PED-2025-005089,2025-04-14,291,90,6,4,1,80.94,48.05,0.00
10236,PED-2025-005754,2025-06-29,160,100,3,1,1,22.05,11.53,0.00
716,PED-2024-000410,2024-02-13,1441,19,11,1,1,4760.87,3530.51,0.10
1329,PED-2024-000755,2024-03-20,1037,34,1,1,1,102.75,80.50,0.10
11403,PED-2025-006410,2025-08-27,155,4,1,1,1,5835.91,4177.68,0.00
5089,PED-2024-002890,2024-10-04,2155,60,1,2,1,242.66,170.55,0.00
14536,PED-2025-008160,2025-12-16,2325,100,1,3,2,21.85,11.58,0.10
7756,PED-2025-004365,2025-02-18,1188,105,1,1,2,812.65,556.69,0.15
11665,PED-2025-006552,2025-08-29,620,13,10,2,2,850.49,686.74,0.00
8748,PED-2025-004912,2025-03-22,1528,49,5,1,3,1158.29,749.11,0.00
5150,PED-2024-002921,2024-10-23,419,11,12,1,1,3026.92,2511.95,0.00
8356,PED-2025-004690,2025-03-02,2425,8,11,3,1,3982.40,2948.10,0.10
13455,PED-2025-007572,2025-11-19,1286,96,12,3,1,407.53,238.05,0.05
3563,PED-2024-002012,2024-08-18,364,51,11,2,2,248.00,167.47,0.05
4150,PED-2024-002342,2024-09-12,386,39,1,4,1,5059.93,3890.58,0.10
5389,PED-2024-003048,2024-11-16,1,32,6,2,1,1957.99,1446.71,0.15
5196,PED-2024-002951,2024-10-31,1712,22,5,3,1,726.11,552.89,0.00
10748,PED-2025-006033,2025-07-09,232,90,11,1,1,84.32,48.82,0.00
1776,PED-2024-001004,2024-04-03,1204,9,12,2,1,1362.59,1054.07,0.00
9031,PED-2025-005070,2025-04-07,1507,101,12,3,1,599.20,396.43,0.15
5803,PED-2024-003278,2024-11-26,1933,52,4,1,1,1380.02,909.61,0.10
15292,PED-2025-008590,2025-12-02,1577,65,8,3,1,807.76,686.79,0.10
7369,PED-2025-004146,2025-01-10,2018,100,4,3,2,23.08,11.74,0.00
8057,PED-2025-004529,2025-02-01,2204,60,9,2,1,244.55,175.26,0.00
2496,PED-2024-001421,2024-06-22,375,90,2,1,1,80.54,46.08,0.00
1732,PED-2024-000982,2024-04-05,1166,91,4,1,1,174.37,102.47,0.00
4897,PED-2024-002783,2024-10-09,2263,25,4,3,1,337.07,234.48,0.05
13595,PED-2025-007650,2025-11-07,1071,55,1,1,1,119.48,82.28,0.05
7410,PED-2025-004169,2025-01-07,527,63,7,2,1,1632.80,1359.44,0.00
1878,PED-2024-001062,2024-05-19,1547,31,8,1,3,163.42,118.35,0.00
7050,PED-2024-003967,2024-12-26,1609,14,5,1,1,1114.18,930.27,0.10
5166,PED-2024-002930,2024-10-28,212,35,3,2,1,550.33,412.77,0.15
2387,PED-2024-001362,2024-06-01,1736,32,7,1,1,1984.28,1449.00,0.10
11350,PED-2025-006382,2025-08-29,1619,83,3,1,1,96.67,51.23,0.15
11153,PED-2025-006263,2025-07-07,2110,38,5,1,1,170.39,125.32,0.15
9213,PED-2025-005171,2025-04-29,462,84,6,4,2,208.29,116.24,0.00
6707,PED-2024-003781,2024-12-04,2172,56,10,2,4,228.12,151.04,0.00
1962,PED-2024-001113,2024-05-14,529,80,5,4,1,2450.14,2085.89,0.05
1646,PED-2024-000930,2024-04-11,1019,64,2,4,1,3578.78,2774.31,0.10
11456,PED-2025-006441,2025-08-18,930,92,4,3,1,60.09,35.06,0.10
15352,PED-2025-008623,2025-12-04,1692,112,7,1,2,50.43,35.14,0.10
10340,PED-2025-005814,2025-06-12,1338,69,8,2,1,6822.93,5357.44,0.00
11830,PED-2025-006648,2025-08-17,1405,25,10,1,1,331.95,248.14,0.10
14809,PED-2025-008309,2025-12-07,2363,52,4,1,2,1518.51,958.42,0.00
13794,PED-2025-007749,2025-11-03,842,95,12,4,3,214.79,127.42,0.00
4421,PED-2024-002496,2024-09-01,1388,8,3,2,1,4041.80,2922.05,0.00
10232,PED-2025-005751,2025-06-16,1886,20,9,1,1,440.42,332.39,0.00
7542,PED-2025-004247,2025-01-13,247,35,10,1,1,574.22,420.74,0.00
3626,PED-2024-002046,2024-08-02,545,93,7,1,2,26.61,15.72,0.00
8408,PED-2025-004718,2025-03-31,674,20,6,1,1,453.80,328.68,0.00
7203,PED-2025-004055,2025-01-22,770,34,3,2,1,106.70,84.25,0.10
714,PED-2024-000410,2024-02-13,1441,22,11,1,1,771.18,541.49,0.05
1694,PED-2024-000960,2024-04-10,2039,21,4,3,1,292.84,226.78,0.15
3174,PED-2024-001799,2024-07-31,2046,71,8,1,1,962.67,785.16,0.05
1709,PED-2024-000970,2024-04-24,1681,39,9,1,1,5013.41,3760.20,0.00
8910,PED-2025-005005,2025-04-23,2205,100,6,1,3,22.62,11.78,0.10
9733,PED-2025-005467,2025-05-15,1313,28,7,3,2,118.77,83.31,0.15
3488,PED-2024-001977,2024-07-16,310,110,3,2,1,397.40,283.28,0.05
6337,PED-2024-003565,2024-12-26,997,37,7,2,3,95.02,65.15,0.15
6525,PED-2024-003668,2024-12-20,521,68,5,1,1,1365.38,1083.84,0.20
2734,PED-2024-001555,2024-06-17,1643,92,1,3,3,59.12,33.01,0.00
8807,PED-2025-004943,2025-04-29,271,34,10,2,2,104.48,81.06,0.00
574,PED-2024-000331,2024-02-27,120,32,3,1,1,1940.62,1428.87,0.10
8289,PED-2025-004652,2025-03-17,1093,50,9,4,1,844.47,589.78,0.05
13478,PED-2025-007583,2025-11-20,557,5,5,3,2,610.44,508.25,0.15
2457,PED-2024-001400,2024-06-10,709,53,10,1,2,53.10,39.69,0.00
7527,PED-2025-004237,2025-01-25,2146,3,1,3,1,4407.16,3425.17,0.00
14625,PED-2025-008204,2025-12-16,963,91,2,1,1,180.90,104.53,0.05
287,PED-2024-000165,2024-01-17,1692,30,3,4,1,5305.10,3977.00,0.00
12274,PED-2025-006891,2025-09-28,1621,72,9,2,2,831.27,684.02,0.00
13431,PED-2025-007556,2025-11-07,1515,28,5,1,4,109.74,82.10,0.10
15456,PED-2025-008682,2025-12-25,1721,38,4,1,1,173.45,122.78,0.15
13632,PED-2025-007668,2025-11-07,2293,96,10,2,1,441.69,246.55,0.00
2871,PED-2024-001629,2024-06-22,1010,69,10,1,1,6904.13,5333.58,0.05
7842,PED-2025-004411,2025-02-15,1010,53,11,1,4,55.18,40.03,0.10
1854,PED-2024-001048,2024-04-11,1847,6,4,1,1,2266.66,1767.05,0.15
2882,PED-2024-001635,2024-06-22,1842,95,4,3,1,223.76,127.73,0.05
6966,PED-2024-003923,2024-12-13,2331,47,5,3,1,587.57,415.00,0.05
12632,PED-2025-007098,2025-09-03,1355,21,12,1,2,302.48,231.62,0.00
5631,PED-2024-003186,2024-11-13,192,68,10,4,1,1276.09,1129.42,0.00
14595,PED-2025-008190,2025-12-08,1300,17,10,2,1,678.08,549.62,0.10
2687,PED-2024-001525,2024-06-09,2251,27,4,1,1,637.17,462.75,0.00
10522,PED-2025-005915,2025-06-10,399,83,7,1,1,92.74,51.31,0.05
9449,PED-2025-005312,2025-05-01,379,61,2,1,1,482.64,380.01,0.15
6593,PED-2024-003708,2024-12-22,2234,53,12,2,1,57.20,38.74,0.05
4621,PED-2024-002617,2024-09-08,483,63,5,2,1,1589.86,1304.85,0.05
214,PED-2024-000122,2024-01-06,1080,56,1,1,1,210.85,151.32,0.00
4276,PED-2024-002415,2024-09-20,2259,89,5,2,1,162.25,92.22,0.05
3580,PED-2024-002022,2024-08-14,580,117,7,1,1,134.38,91.09,0.00
7294,PED-2025-004108,2025-01-20,576,36,2,1,4,1519.51,1114.13,0.20
10223,PED-2025-005746,2025-06-26,786,48,3,3,1,1186.43,719.82,0.00
1392,PED-2024-000790,2024-04-14,480,75,5,2,1,3763.33,2819.12,0.15
8530,PED-2025-004792,2025-03-31,1137,9,3,3,1,1424.78,1078.75,0.00
8005,PED-2025-004503,2025-02-23,2043,66,1,2,1,1632.56,1227.26,0.15
11686,PED-2025-006566,2025-08-12,979,67,7,4,1,2323.37,1854.68,0.00
5681,PED-2024-003212,2024-11-12,2469,63,7,3,1,1510.30,1306.85,0.05
13302,PED-2025-007488,2025-10-09,1513,86,4,3,1,479.31,278.78,0.15
4349,PED-2024-002460,2024-09-20,542,24,5,3,2,202.64,156.37,0.05
4741,PED-2024-002690,2024-10-22,19,48,5,1,2,1077.19,712.22,0.10
15208,PED-2025-008542,2025-12-17,1626,46,4,3,1,112.20,80.46,0.05
12322,PED-2025-006918,2025-09-29,1062,26,4,4,1,785.93,587.02,0.00
12065,PED-2025-006776,2025-09-29,2019,1,6,2,1,5811.39,4599.83,0.00
5488,PED-2024-003101,2024-11-03,1004,28,8,4,2,107.54,78.18,0.20
10330,PED-2025-005806,2025-06-02,236,2,1,1,1,394.34,325.65,0.05
11006,PED-2025-006183,2025-07-19,1763,36,7,2,1,1595.20,1082.20,0.00
3313,PED-2024-001878,2024-07-20,1609,55,3,4,1,108.40,77.42,0.05
12066,PED-2025-006776,2025-09-29,2019,74,6,2,3,2697.07,2241.80,0.05
12251,PED-2025-006878,2025-09-02,1078,32,1,3,1,1934.13,1483.25,0.05
6968,PED-2024-003924,2024-12-02,974,119,11,4,4,625.00,473.50,0.15
15439,PED-2025-008671,2025-12-08,1972,2,6,2,1,385.93,327.52,0.10
13686,PED-2025-007694,2025-11-11,2500,116,5,3,1,181.95,121.11,0.05
7591,PED-2025-004273,2025-01-30,744,115,8,1,2,75.95,49.82,0.10
15129,PED-2025-008503,2025-12-05,216,17,1,2,1,663.34,542.80,0.10
4734,PED-2024-002688,2024-10-23,162,60,5,1,1,233.43,167.47,0.10
9912,PED-2025-005565,2025-05-07,2166,62,2,2,1,3089.78,2576.64,0.00
8713,PED-2025-004892,2025-03-20,1864,92,5,1,1,59.30,34.84,0.00
9272,PED-2025-005206,2025-04-12,730,40,12,2,1,161.56,127.15,0.05
9073,PED-2025-005092,2025-04-27,2235,35,3,3,2,603.64,417.81,0.00
2486,PED-2024-001415,2024-06-16,1891,35,3,3,1,560.66,415.12,0.10
424,PED-2024-000249,2024-01-31,470,94,1,4,1,207.25,110.17,0.10
6777,PED-2024-003823,2024-12-26,2277,11,3,1,1,3156.38,2486.00,0.10
9771,PED-2025-005496,2025-05-31,11,76,4,3,1,5428.36,4628.46,0.05
3386,PED-2024-001923,2024-07-11,1697,52,11,1,1,1390.54,900.44,0.00
10740,PED-2025-006028,2025-07-12,217,45,5,2,1,149.00,102.62,0.10
4985,PED-2024-002833,2024-10-24,1531,57,2,1,1,1254.03,871.74,0.15
8900,PED-2025-004998,2025-04-28,1099,47,7,2,1,634.01,434.90,0.20
3982,PED-2024-002244,2024-08-15,2148,12,1,1,1,3290.94,2540.98,0.20
3611,PED-2024-002038,2024-08-03,722,9,6,1,1,1397.40,1063.09,0.00
9038,PED-2025-005074,2025-04-27,960,89,9,2,2,167.36,95.40,0.20
3120,PED-2024-001768,2024-07-15,1722,84,10,1,5,195.66,112.28,0.00
10499,PED-2025-005898,2025-06-15,1507,109,1,3,2,3041.74,1978.13,0.10
12908,PED-2025-007255,2025-10-01,1630,50,5,1,1,810.98,581.11,0.05
3454,PED-2024-001961,2024-07-28,1255,76,4,1,2,5124.65,4441.71,0.10
6648,PED-2024-003742,2024-12-14,1726,72,7,3,1,780.61,649.57,0.00
12624,PED-2025-007093,2025-09-10,65,97,5,4,3,26.87,16.03,0.00
9133,PED-2025-005127,2025-04-19,2153,19,1,1,1,4927.00,3768.68,0.00
7709,PED-2025-004339,2025-02-15,1591,88,4,3,1,39.55,20.16,0.05
15012,PED-2025-008429,2025-12-10,808,96,1,1,1,436.78,236.94,0.20
7027,PED-2024-003956,2024-12-11,482,10,9,1,1,1650.58,1334.57,0.05
9900,PED-2025-005560,2025-05-14,1138,113,3,2,1,1040.95,730.53,0.15
14469,PED-2025-008124,2025-12-08,2331,38,11,4,1,170.81,123.82,0.05
10767,PED-2025-006042,2025-07-22,1223,10,9,3,1,1775.38,1334.60,0.05
493,PED-2024-000285,2024-02-18,900,93,6,1,2,27.29,15.97,0.10
1826,PED-2024-001030,2024-04-16,882,96,11,3,1,403.53,236.47,0.00
11198,PED-2025-006295,2025-07-30,1898,89,10,4,2,172.26,91.29,0.15
5640,PED-2024-003189,2024-11-11,1296,108,3,3,1,1108.47,768.44,0.15
10068,PED-2025-005660,2025-06-18,1166,9,4,1,1,1434.38,1075.08,0.00
11012,PED-2025-006186,2025-07-19,317,115,11,2,1,75.76,49.63,0.00
10710,PED-2025-006013,2025-07-21,994,85,6,3,2,29.74,15.10,0.05
911,PED-2024-000518,2024-03-05,842,98,12,4,2,28.75,16.41,0.00
11867,PED-2025-006671,2025-08-30,2171,19,4,1,1,4768.11,3699.93,0.05
13314,PED-2025-007493,2025-10-09,2260,6,11,2,1,2222.67,1794.31,0.10
11840,PED-2025-006652,2025-08-16,1958,63,4,1,1,1696.27,1325.64,0.00
5062,PED-2024-002876,2024-10-18,172,44,1,1,3,856.71,598.94,0.05
2664,PED-2024-001511,2024-06-10,1827,110,6,2,1,400.39,280.65,0.10
13644,PED-2025-007672,2025-11-16,530,21,1,2,1,314.95,235.63,0.10
6564,PED-2024-003692,2024-12-26,577,102,9,1,2,55.78,39.11,0.10
2694,PED-2024-001528,2024-06-06,63,23,10,2,2,109.07,79.15,0.15
11172,PED-2025-006275,2025-07-12,1676,100,9,1,1,23.05,11.31,0.05
2408,PED-2024-001373,2024-06-12,1172,112,11,1,1,46.25,34.29,0.00
8308,PED-2025-004665,2025-03-31,1145,59,7,3,1,506.51,326.80,0.10
13674,PED-2025-007687,2025-11-01,2017,13,3,1,3,921.95,691.27,0.00
1210,PED-2024-000686,2024-03-24,386,37,1,1,1,92.70,65.87,0.10
5513,PED-2024-003115,2024-11-08,1853,107,3,3,2,178.15,118.39,0.00
15368,PED-2025-008629,2025-12-17,1822,11,7,2,1,3201.21,2542.46,0.10
6839,PED-2024-003858,2024-12-14,2167,87,12,1,2,59.50,30.64,0.05
9636,PED-2025-005420,2025-05-31,2378,81,8,3,2,318.00,184.27,0.00
1424,PED-2024-000810,2024-04-25,2024,22,6,1,3,741.10,536.90,0.00
2482,PED-2024-001414,2024-06-18,1830,53,5,1,1,54.00,38.45,0.05
7784,PED-2025-004381,2025-02-07,898,2,10,2,1,412.83,324.63,0.05
8327,PED-2025-004673,2025-03-10,350,29,1,2,1,1415.71,1046.09,0.20
12931,PED-2025-007266,2025-10-11,2152,102,9,1,1,62.69,41.73,0.20
13888,PED-2025-007808,2025-11-14,2356,107,3,2,1,174.72,124.67,0.00
1350,PED-2024-000765,2024-03-28,1293,89,12,2,2,173.32,92.03,0.10
9704,PED-2025-005456,2025-05-02,1893,35,3,1,1,568.98,430.76,0.15
13695,PED-2025-007700,2025-11-11,2422,12,10,2,3,3421.03,2661.30,0.00
5895,PED-2024-003332,2024-11-26,1608,31,4,1,1,166.68,118.45,0.15
5734,PED-2024-003242,2024-11-26,1669,92,6,1,1,59.09,33.38,0.00
1209,PED-2024-000686,2024-03-24,386,17,1,1,1,671.17,521.47,0.05
14645,PED-2025-008214,2025-12-24,1410,120,10,1,1,1119.00,795.71,0.15
14253,PED-2025-008012,2025-11-02,2401,16,4,3,1,3827.89,2808.69,0.05
3481,PED-2024-001974,2024-07-23,97,71,3,2,2,959.98,769.09,0.05
5295,PED-2024-003001,2024-10-08,504,24,1,4,2,202.62,157.46,0.00
4310,PED-2024-002436,2024-09-29,519,54,1,2,1,334.08,236.10,0.00
15224,PED-2025-008550,2025-12-23,2323,63,2,3,1,1581.64,1310.02,0.00
1842,PED-2024-001040,2024-04-24,195,82,7,1,2,239.98,132.60,0.00
7588,PED-2025-004270,2025-01-27,88,29,1,1,1,1374.57,1048.31,0.00
9807,PED-2025-005513,2025-05-19,1687,53,2,3,1,57.69,40.65,0.00
13902,PED-2025-007815,2025-11-06,682,26,6,3,1,810.23,574.53,0.05
9880,PED-2025-005549,2025-05-29,2357,10,7,3,1,1711.45,1349.62,0.00
641,PED-2024-000370,2024-02-07,1345,33,3,1,1,306.72,233.96,0.00
2727,PED-2024-001550,2024-06-12,497,3,12,3,2,4073.95,3359.75,0.10
4676,PED-2024-002647,2024-09-24,1301,10,11,3,1,1732.04,1311.37,0.00
1022,PED-2024-000578,2024-03-16,1812,37,9,2,1,95.06,64.30,0.15
6311,PED-2024-003549,2024-12-05,2374,73,9,3,1,2780.09,2060.59,0.15
10579,PED-2025-005943,2025-06-18,374,40,1,3,3,169.18,129.27,0.05
5548,PED-2024-003134,2024-11-28,243,9,5,1,1,1360.99,1080.50,0.00
11933,PED-2025-006706,2025-08-04,191,56,3,3,2,234.94,155.04,0.00
5001,PED-2024-002842,2024-10-22,603,39,1,2,1,5149.88,3948.37,0.00
7057,PED-2024-003970,2024-12-12,925,15,10,1,1,737.31,599.44,0.00
6287,PED-2024-003537,2024-12-06,96,46,3,1,1,114.94,77.88,0.05
13293,PED-2025-007484,2025-10-23,236,2,4,2,1,406.13,318.61,0.20
11243,PED-2025-006323,2025-07-07,1399,91,12,3,2,175.75,106.07,0.00
8590,PED-2025-004824,2025-03-24,473,87,10,1,1,57.31,32.23,0.00
3403,PED-2024-001933,2024-07-29,577,66,10,1,1,1607.16,1171.76,0.00
10965,PED-2025-006160,2025-07-31,2441,68,7,4,1,1357.81,1160.40,0.10
630,PED-2024-000365,2024-02-06,1178,15,4,3,1,748.66,602.22,0.10
14489,PED-2025-008136,2025-12-11,2116,20,2,1,2,431.11,327.73,0.05
10030,PED-2025-005633,2025-06-16,1240,88,7,1,1,39.59,20.31,0.00
13303,PED-2025-007488,2025-10-09,1513,100,4,3,1,21.81,11.85,0.00
882,PED-2024-000502,2024-03-14,2407,69,9,1,3,6915.63,5200.56,0.20
12944,PED-2025-007275,2025-10-06,1714,3,11,1,1,4248.57,3402.20,0.05
1887,PED-2024-001066,2024-05-07,2009,11,2,2,1,3010.39,2441.30,0.00
2104,PED-2024-001196,2024-05-06,2136,15,8,1,2,770.63,609.27,0.10
8268,PED-2025-004643,2025-03-16,863,91,7,1,1,180.60,106.75,0.00
12494,PED-2025-007016,2025-09-08,1496,115,4,3,1,72.33,50.06,0.10
13536,PED-2025-007619,2025-11-06,383,53,10,2,1,58.14,39.97,0.10
9824,PED-2025-005520,2025-05-16,1642,83,3,1,1,92.20,51.51,0.00
1591,PED-2024-000902,2024-04-26,1204,107,6,2,2,179.22,123.03,0.00
9569,PED-2025-005378,2025-05-12,882,61,5,4,1,496.68,372.99,0.00
2364,PED-2024-001348,2024-05-29,1217,39,8,3,1,4828.80,3851.74,0.10
9841,PED-2025-005530,2025-05-15,1953,11,3,3,1,3293.55,2622.71,0.00
11176,PED-2025-006278,2025-07-13,2220,83,3,1,3,95.19,50.53,0.00
7506,PED-2025-004223,2025-01-03,1650,29,1,1,3,1317.95,1035.05,0.05
15448,PED-2025-008677,2025-12-15,2041,31,11,1,1,166.92,125.80,0.00
6885,PED-2024-003883,2024-12-09,2322,87,1,4,1,58.33,30.77,0.00
3684,PED-2024-002080,2024-08-23,863,77,7,2,1,2754.60,2168.51,0.05
12483,PED-2025-007010,2025-09-17,1937,85,3,1,2,30.74,15.63,0.15
12096,PED-2025-006793,2025-09-17,302,103,6,1,1,1357.80,961.13,0.05
3148,PED-2024-001783,2024-07-14,253,77,6,2,1,2797.04,2140.66,0.05
4733,PED-2024-002687,2024-10-25,1202,68,8,1,1,1336.67,1121.38,0.10
1472,PED-2024-000837,2024-04-23,255,39,9,1,1,4873.08,3900.02,0.05
12645,PED-2025-007104,2025-09-19,862,32,10,1,2,1967.76,1489.17,0.05
7405,PED-2025-004166,2025-01-09,175,91,8,1,1,178.78,104.09,0.00
3080,PED-2024-001745,2024-07-22,489,84,12,3,1,205.16,111.80,0.05
11329,PED-2025-006371,2025-08-22,313,90,11,1,2,82.75,47.12,0.15
4857,PED-2024-002762,2024-10-03,146,98,1,1,1,29.37,16.07,0.00
14164,PED-2025-007966,2025-11-23,515,27,2,1,1,622.88,487.35,0.00
8284,PED-2025-004649,2025-03-22,1967,15,10,4,1,776.71,621.40,
15443,PED-2025-008674,2025-12-07,2369,76,8,2,1,5269.10,4421.62,0.05
10663,PED-2025-005989,2025-07-16,136,10,3,2,1,1788.72,1356.41,0.05
968,PED-2024-000550,2024-03-04,167,76,9,4,1,5503.59,4282.36,0.00
15311,PED-2025-008602,2025-12-25,1528,62,6,3,1,3122.73,2518.71,0.00
12075,PED-2025-006781,2025-09-01,983,66,11,2,1,1661.43,1224.39,0.00
151,PED-2024-000087,2024-01-04,2292,43,3,1,1,60.44,42.28,0.00
