Data,LojaID,MetaReceita,MetaLucro
2025-04-01,4,68329.91,12982.68
2025-05-01,4,116448.41,22125.20
2025-06-01,4,84452.04,16045.89
2025-07-01,4,67734.59,12869.57
2025-08-01,4,73652.67,13994.01
2025-09-01,4,52629.62,9999.63
2025-10-01,4,102392.62,19454.60
2025-11-01,4,104311.71,19819.22
2025-12-01,4,144950.07,27540.51
2024-01-01,5,16691.18,3171.32
2024-02-01,5,53348.35,10136.19
2024-03-01,5,63130.65,11994.82
2024-04-01,5,30242.23,5746.02
2024-05-01,5,47760.95,9074.58
2024-06-01,5,64605.65,12275.07
2024-07-01,5,108401.52,20596.29
2024-08-01,5,94682.00,17989.58
2024-09-01,5,75998.63,14439.74
2024-10-01,5,95764.08,18195.18
2024-11-01,5,76952.76,14621.03
2024-12-01,5,110919.26,21074.66
2025-01-01,5,19365.29,3679.41
2025-02-01,5,61449.93,11675.49
2025-03-01,5,72584.90,13791.13
2025-04-01,5,35958.88,6832.19
2025-05-01,5,54427.42,10341.21
2025-06-01,5,72734.26,13819.51
2025-07-01,5,121967.79,23173.88
2025-08-01,5,101655.54,19314.55
2025-09-01,5,83915.28,15943.90
2025-10-01,5,105298.68,20006.75
2025-11-01,5,89820.56,17065.91
2025-12-01,5,129910.48,24682.99
2024-01-01,6,81572.50,15498.77
2024-02-01,6,44024.92,8364.74
2024-03-01,6,80727.88,15338.30
2024-04-01,6,50671.16,9627.52
2024-05-01,6,105067.53,19962.83
2024-06-01,6,64422.57,12240.29
2024-07-01,6,75225.73,14292.89
2024-08-01,6,35326.88,6712.11
2024-09-01,6,89526.53,17010.04
2024-10-01,6,56224.23,10682.60
2024-11-01,6,108749.56,20662.42
2024-12-01,6,100347.87,19066.10
2025-01-01,6,88505.57,16816.06
2025-02-01,6,46484.43,8832.04
2025-03-01,6,88769.14,16866.14
2025-04-01,6,57187.35,10865.60
2025-05-01,6,116630.34,22159.76
2025-06-01,6,67840.14,12889.63
2025-07-01,6,81205.46,15429.04
2025-08-01,6,39359.80,7478.36
2025-09-01,6,98249.43,18667.39
2025-10-01,6,64159.75,12190.35
2025-11-01,6,121610.14,23105.93
2025-12-01,6,105620.30,20067.86
2024-01-01,7,62250.89,11827.67
2024-02-01,7,35577.15,6759.66
2024-03-01,7,31757.97,6034.01
2024-04-01,7,43890.54,8339.20
2024-05-01,7,63294.59,12025.97
2024-06-01,7,48325.23,9181.79
2024-07-01,7,81989.91,15578.08
2024-08-01,7,67439.60,12813.52
2024-09-01,7,58646.14,11142.77
2024-10-01,7,90310.37,17158.97
2024-11-01,7,83947.75,15950.07
2024-12-01,7,125391.52,23824.39
2025-01-01,7,71129.69,13514.64
2025-02-01,7,36929.71,7016.65
2025-03-01,7,36454.52,6926.36
2025-04-01,7,49178.82,9343.97
2025-05-01,7,68210.98,12960.09
2025-06-01,7,52460.53,9967.50
2025-07-01,7,88712.67,16855.41
2025-08-01,7,75214.44,14290.74
2025-09-01,7,62101.21,11799.23
2025-10-01,7,104169.90,19792.28
2025-11-01,7,92736.52,17619.94
2025-12-01,7,129914.84,24683.82
2024-01-01,8,65391.71,12424.42
2024-02-01,8,33304.55,6327.86
2024-03-01,8,43846.27,8330.79
2024-04-01,8,48747.78,9262.08
2024-05-01,8,34576.81,6569.59
2024-06-01,8,101258.98,19239.21
2024-07-01,8,66624.41,12658.64
2024-08-01,8,67662.36,12855.85
2024-09-01,8,68914.51,13093.76
2024-10-01,8,46567.66,8847.86
2024-11-01,8,86185.74,16375.29
2024-12-01,8,94267.61,17910.85
2025-01-01,8,74123.01,14083.37
2025-02-01,8,37098.60,7048.73
2025-03-01,8,46070.75,8753.44
2025-04-01,8,53986.07,10257.35
2025-05-01,8,36378.26,6911.87
2025-06-01,8,105774.22,20097.10
2025-07-01,8,72652.41,13803.96
2025-08-01,8,70065.32,13312.41
2025-09-01,8,75629.35,14369.58
2025-10-01,8,49263.90,9360.14
2025-11-01,8,96001.64,18240.31
2025-12-01,8,100482.41,19091.66
2024-01-01,9,58847.25,11180.98
2024-02-01,9,49716.66,9446.17
2024-03-01,9,98358.70,18688.15
2024-04-01,9,80406.64,15277.26
2024-05-01,9,45408.13,8627.54
2024-06-01,9,69114.77,13131.81
2024-07-01,9,68432.05,13002.09
2024-08-01,9,70692.28,13431.53
2024-09-01,9,51607.54,9805.43
2024-10-01,9,70922.26,13475.23
2024-11-01,9,138358.65,26288.14
2024-12-01,9,144239.22,27405.45
2025-01-01,9,68341.82,12984.95
2025-02-01,9,57924.63,11005.68
2025-03-01,9,108409.34,20597.77
2025-04-01,9,89926.49,17086.03
2025-05-01,9,52329.39,9942.58
2025-06-01,9,76425.85,14520.91
2025-07-01,9,79360.34,15078.46
2025-08-01,9,77931.11,14806.91
2025-09-01,9,59160.70,11240.53
2025-10-01,9,76246.44,14486.82
2025-11-01,9,154287.12,29314.55
2025-12-01,9,162592.18,30892.51
2024-01-01,10,50934.21,9677.50
2024-02-01,10,66880.40,12707.28
2024-03-01,10,47550.21,9034.54
2024-04-01,10,50303.52,9557.67
2024-05-01,10,46866.58,8904.65
2024-06-01,10,72107.22,13700.37
2024-07-01,10,50384.07,9572.97
2024-08-01,10,42093.40,7997.75
2024-09-01,10,70401.04,13376.20
2024-10-01,10,109777.28,20857.68
2024-11-01,10,126049.01,23949.31
2024-12-01,10,112276.54,21332.54
2025-01-01,10,52846.75,10040.88
2025-02-01,10,75442.91,14334.15
2025-03-01,10,51037.37,9697.10
2025-04-01,10,56533.04,10741.28
2025-05-01,10,49595.75,9423.19
2025-06-01,10,77862.60,14793.89
2025-07-01,10,56006.08,10641.16
2025-08-01,10,48305.37,9178.02
2025-09-01,10,80415.82,15279.01
2025-10-01,10,125497.08,23844.45
2025-11-01,10,132323.51,25141.47
2025-12-01,10,127555.72,24235.59
2024-01-01,11,59562.21,11316.82
2024-02-01,11,96157.95,18270.01
2024-03-01,11,31911.50,6063.18
2024-04-01,11,89933.95,17087.45
2024-05-01,11,41988.42,7977.80
2024-06-01,11,72235.87,13724.81
2024-07-01,11,92006.14,17481.17
2024-08-01,11,57058.74,10841.16
2024-09-01,11,48831.61,9278.01
2024-10-01,11,70463.87,13388.14
2024-11-01,11,73524.14,13969.59
2024-12-01,11,54298.22,10316.66
2025-01-01,11,68134.40,12945.54
2025-02-01,11,108111.62,20541.21
2025-03-01,11,35935.88,6827.82
2025-04-01,11,101918.69,19364.55
2025-05-01,11,43476.75,8260.58
2025-06-01,11,76614.73,14556.80
2025-07-01,11,99403.46,18886.66
2025-08-01,11,62324.20,11841.60
2025-09-01,11,49799.51,9461.91
2025-10-01,11,80060.14,15211.43
2025-11-01,11,75755.57,14393.56
2025-12-01,11,60274.90,11452.23
2024-01-01,12,19758.81,3754.17
2024-02-01,12,73697.25,14002.48
2024-03-01,12,38439.28,7303.46
2024-04-01,12,72142.56,13707.09
2024-05-01,12,32973.91,6265.04
2024-06-01,12,50468.03,9588.93
2024-07-01,12,35485.50,6742.24
2024-08-01,12,74158.38,14090.09
2024-09-01,12,44075.80,8374.40
2024-10-01,12,61162.38,11620.85
2024-11-01,12,73261.25,13919.64
2024-12-01,12,98189.43,18655.99
2025-01-01,12,19999.36,3799.88
2025-02-01,12,82535.89,15681.82
2025-03-01,12,43416.42,8249.12
2025-04-01,12,75260.92,14299.57
2025-05-01,12,36395.79,6915.20
2025-06-01,12,52203.03,9918.58
2025-07-01,12,39197.61,7447.55
2025-08-01,12,82145.19,15607.59
2025-09-01,12,44741.56,8500.90
2025-10-01,12,69023.39,13114.44
2025-11-01,12,74829.95,14217.69
2025-12-01,12,111289.63,21145.03
